country,capital,lat,lon,,,
Abkhazia,Sukhumi,43.003363,41.019274,,,
Afghanistan,Kabul,34.526013,69.177648,,,
Akrotiri and Dhekelia,Episkopi Cantonment,34.676,32.8375,,,
Albania,Tirana,41.327946,19.818532,,,
Algeria,Algiers,36.775348,3.060065,,,
American Samoa,Pago Pago,-14.275479,-170.70483,,,
Andorra,Andorra la Vella,42.506939,1.521247,,,
Angola,Luanda,-8.827166,13.243667,,,
Anguilla,The Valley,12.218517,-69.086299,,,
Antigua and Barbuda,St. John's,17.116667,-61.85,,,
Argentina,Buenos Aires,-34.607562,-58.437076,,,
Armenia,Yerevan,40.177612,44.512585,,,
Aruba,Oranjestad,12.526874,-70.035684,,,
Ascension Island,Georgetown,-7.928611,-14.411667,,,
Australia,Canberra,-35.297591,149.101268,,,
Austria,Vienna,48.208354,16.372504,,,
Azerbaijan,Baku,40.375443,49.832675,,,
Bahamas,Nassau,25.06,-77.345,,,
Bahrain,Manama,26.223504,50.582244,,,
Bangladesh,Dhaka,23.759357,90.378814,,,
Barbados,Bridgetown,13.097783,-59.618418,,,
Belarus,Minsk,53.902334,27.561879,,,
Belgium,Brussels,50.846557,4.351697,,,
Belize,Belmopan,17.250199,-88.770018,,,
Benin,Porto-Novo,6.499072,2.625336,,,
Bermuda,Hamilton,32.293,-64.782,,,
Bhutan,Thimphu,27.472762,89.629548,,,
Bolivia,Sucre,-19.047725,-65.259431,,,
Bolivia,La Paz,-16.495637,-68.133635,,,
Bosnia and Herzegovina,Sarajevo,43.851977,18.386687,,,
Botswana,Gaborone,-24.655319,25.908728,,,
Brazil,Brasília,-15.793404,-47.882317,,,
British Virgin Islands,Road Town,18.425713,-64.623223,,,
Brunei,Bandar Seri Begawan,4.889545,114.941757,,,
Bulgaria,Sofia,42.697863,23.322179,,,
Burkina Faso,Ouagadougou,12.368148,-1.527085,,,
Burundi,Bujumbura,-3.363812,29.367503,,,
Cambodia,Phnom Penh,11.568271,104.922443,,,
Cameroon,Yaoundé,3.868987,11.521334,,,
Canada,Ottawa,45.421106,-75.690308,,,
Cape Verde,Praia,14.916017,-23.509613,,,
Cayman Islands,George Town,13.092092,80.282243,,,
Central African Republic,Bangui,4.390715,18.550913,,,
Chad,N'Djamena,12.119154,15.050276,,,
Chile,Santiago,-33.437797,-70.650445,,,
China,Beijing,39.905963,116.391248,,,
Christmas Island,Flying Fish Cove,-10.426665,105.668672,,,
Cocos (Keeling) Islands,West Island,-7.248275,72.384419,,,
Colombia,Bogotá,4.598077,-74.076103,,,
Comoros,Moroni,-11.693125,43.254304,,,
Cook Islands,Avarua,-21.207474,-159.770814,,,
Costa Rica,San José,37.336191,-121.890583,,,
Croatia,Zagreb,45.813177,15.977048,,,
Cuba,Havana,23.138028,-82.365867,,,
Curaçao,Willemstad,12.109124,-68.931655,,,
Cyprus,Nicosia,35.180282,33.373696,,,
Czech Republic,Prague,50.087465,14.421254,,,
Côte d'Ivoire,Yamoussoukro,6.869145,-5.282328,,,
Democratic Republic of the Congo,Kinshasa,-4.321705,15.312597,,,
Denmark,Copenhagen,55.686724,12.570072,,,
Djibouti,Djibouti,11.856775,42.757785,,,
Dominica,Roseau,15.299192,-61.387287,,,
Dominican Republic,Santo Domingo,18.480197,-69.942111,,,
East Timor (Timor-Leste),Dili,-8.553681,125.578409,,,
Easter Island,Hanga Roa,-33.062877,-71.578588,,,
Ecuador,Quito,-0.220164,-78.512327,,,
Egypt,Cairo,30.048819,31.243666,,,
El Salvador,San Salvador,13.697759,-89.19301,,,
Equatorial Guinea,Malabo,3.752828,8.780061,,,
Eritrea,Asmara,15.338997,38.932672,,,
Estonia,Tallinn,59.437216,24.745369,,,
Ethiopia,Addis Ababa,9,38.75,,,
Falkland Islands,Stanley,22.218099,114.212982,,,
Faroe Islands,Tórshavn,62.012,-6.768,,,
Federated States of Micronesia,Palikir,6.920744,158.162714,,,
Fiji,Suva,-18.141588,178.442166,,,
Finland,Helsinki,60.167409,24.942568,,,
France,Paris,48.85661,2.351499,,,
French Guiana,Cayenne,4.937114,-52.325831,,,
French Polynesia,Papeete,-17.538401,-149.566187,,,
Gabon,Libreville,0.390002,9.454001,,,
Gambia,Banjul,13.45535,-16.575646,,,
Georgia,Tbilisi,41.693459,44.80145,,,
Germany,Berlin,52.517037,13.38886,,,
Ghana,Accra,5.560014,-0.205744,,,
Gibraltar,Gibraltar,36.140807,-5.354129,,,
Greece,Athens,33.955091,-83.388187,,,
Greenland,Nuuk,64.175029,-51.735539,,,
Grenada,St. George's,12.053533,-61.751805,,,
Guam,Hagåtña,13.477344,144.752191,,,
Guatemala,Guatemala City,14.641789,-90.513224,,,
Guernsey,St. Peter Port,49.456814,-2.538998,,,
Guinea,Conakry,9.51706,-13.699843,,,
Guinea-Bissau,Bissau,11.861324,-15.583055,,,
Guyana,Georgetown,6.801111,-58.155278,,,
Haiti,Port-au-Prince,18.547327,-72.339593,,,
Honduras,Tegucigalpa,14.093192,-87.201263,,,
Hungary,Budapest,47.498382,19.040471,,,
Iceland,Reykjavík,64.145981,-21.942237,,,
India,New Delhi,28.614179,77.202266,,,
Indonesia,Jakarta,-6.175394,106.827183,,,
Iran,Tehran,35.700618,51.401379,,,
Iraq,Baghdad,33.302431,44.378799,,,
Ireland,Dublin,53.349765,-6.260273,,,
Isle of Man,Douglas,54.149774,-4.477902,,,
Israel,Jerusalem,31.789118,35.222973,,,
Italy,Rome,41.894802,12.485338,,,
Jamaica,Kingston,17.971215,-76.792813,,,
Japan,Tokyo,34.696864,139.404903,,,
Jersey,St. Helier,51.386695,-0.180057,,,
Jordan,Amman,31.951569,35.923963,,,
Kazakhstan,Astana,51.150921,71.43886,,,
Kenya,Nairobi,-1.283253,36.817245,,,
Kiribati,Tarawa,11.588415,3.970774,,,
Kosovo,Pristina,42.663877,21.164085,,,
Kuwait,Kuwait City,29.379709,47.973563,,,
Kyrgyzstan,Bishkek,42.879758,74.586688,,,
Laos,Vientiane,17.964099,102.613371,,,
Latvia,Riga,56.949398,24.105185,,,
Lebanon,Beirut,33.89592,35.47843,,,
Lesotho,Maseru,-29.310054,27.478222,,,
Liberia,Monrovia,6.328034,-10.797788,,,
Libya,Tripoli,32.896672,13.177792,,,
Liechtenstein,Vaduz,47.139286,9.522796,,,
Lithuania,Vilnius,54.687046,25.282911,,,
Luxembourg,Luxembourg,49.815868,6.129675,,,
Macedonia,Skopje,41.996092,21.43165,,,
Madagascar,Antananarivo,-18.910012,47.525581,,,
Malawi,Lilongwe,-13.973456,33.787812,,,
Malaysia,Kuala Lumpur,3.154687,101.713636,,,
Maldives,Malé,46.351607,10.912876,,,
Mali,Bamako,12.649319,-8.000337,,,
Malta,Valletta,35.898982,14.513676,,,
Marshall Islands,Majuro,7.090992,171.381635,,,
Mauritania,Nouakchott,18.079238,-15.978007,,,
Mauritius,Port Louis,-20.163728,57.504533,,,
Mexico,Mexico City,19.432601,-99.133342,,,
Moldova,Chisinau,47.012274,28.860594,,,
Monaco,Monaco,43.731142,7.419758,,,
Mongolia,Ulaanbaatar,47.949809,106.966724,,,
Montenegro,Podgorica,42.441524,19.262108,,,
Montserrat,Plymouth,50.371266,-4.142566,,,
Morocco,Rabat,34.022405,-6.834543,,,
Mozambique,Maputo,-25.966213,32.56745,,,
Myanmar,Naypyidaw,19.754005,96.134498,,,
