country,capital,lat,lon,,,
Afghanistan,Kabul,34.526013,69.177648,,,
Albania,Tirana,41.327946,19.818532,,,
Algeria,Algiers,36.775348,3.060065,,,
Andorra,Andorra la Vella,42.506939,1.521247,,,
Angola,Luanda,-8.827166,13.243667,,,
Argentina,Buenos Aires,-34.607562,-58.437076,,,
Aruba,Oranjestad,12.526874,-70.035684,,,
Australia,Canberra,-35.297591,149.101268,,,
Austria,Vienna,48.208354,16.372504,,,
Azerbaijan,Baku,40.375443,49.832675,,,
Bahrain,Manama,26.223504,50.582244,,,
Bangladesh,Dhaka,23.759357,90.378814,,,
Barbados,Bridgetown,13.097783,-59.618418,,,
Belgium,Brussels,50.846557,4.351697,,,
Belize,Belmopan,17.250199,-88.770018,,,
Bermuda,Hamilton,32.293,-64.782,,,
Bolivia,Sucre,-19.047725,-65.259431,,,
Bosnia and Herzegovina,Sarajevo,43.851977,18.386687,,,
Botswana,Gaborone,-24.655319,25.908728,,,
Brazil,Brasília,-15.793404,-47.882317,,,
Brunei,Bandar Seri Begawan,4.889545,114.941757,,,
Bulgaria,Sofia,42.697863,23.322179,,,
Burkina Faso,Ouagadougou,12.368148,-1.527085,,,
Burundi,Bujumbura,-3.363812,29.367503,,,
Cameroon,Yaoundé,3.868987,11.521334,,,
Canada,Ottawa,45.421106,-75.690308,,,
Cape Verde,Praia,14.916017,-23.509613,,,
Chad,N'Djamena,12.119154,15.050276,,,
Chile,Santiago,-33.437797,-70.650445,,,
China,Beijing,39.905963,116.391248,,,
Colombia,Bogotá,4.598077,-74.076103,,,
Costa Rica,San José,37.336191,-121.890583,,,
Croatia,Zagreb,45.813177,15.977048,,,
Cuba,Havana,23.138028,-82.365867,,,
Cyprus,Nicosia,35.180282,33.373696,,,
Czech Republic,Prague,50.087465,14.421254,,,
Democratic Republic of the Congo,Kinshasa,-4.321705,15.312597,,,
Denmark,Copenhagen,55.686724,12.570072,,,
Djibouti,Djibouti,11.856775,42.757785,,,
Dominica,Roseau,15.299192,-61.387287,,,
Dominican Republic,Santo Domingo,18.480197,-69.942111,,,
Ecuador,Quito,-0.220164,-78.512327,,,
Egypt,Cairo,30.048819,31.243666,,,
El Salvador,San Salvador,13.697759,-89.19301,,,
Estonia,Tallinn,59.437216,24.745369,,,
Eswatini,Mbabane,-26.316667,31.133333,,,
Ethiopia,Addis Ababa,9,38.75,,,
Finland,Helsinki,60.167409,24.942568,,,
France,Paris,48.85661,2.351499,,,
Gabon,Libreville,0.390002,9.454001,,,
Gambia,Banjul,13.45535,-16.575646,,,
Germany,Berlin,52.517037,13.38886,,,
Ghana,Accra,5.560014,-0.205744,,,
Greece,Athens,33.955091,-83.388187,,,
Greenland,Nuuk,64.175029,-51.735539,,,
Guam,Hagåtña,13.477344,144.752191,,,
Guatemala,Guatemala City,14.641789,-90.513224,,,
Guyana,Georgetown,6.801111,-58.155278,,,
Honduras,Tegucigalpa,14.093192,-87.201263,,,
Hong Kong,Hong Kong,22.3,114.2,,,
Hungary,Budapest,47.498382,19.040471,,,
Iceland,Reykjavík,64.145981,-21.942237,,,
India,New Delhi,28.614179,77.202266,,,
Indonesia,Jakarta,-6.175394,106.827183,,,
Iran,Tehran,35.700618,51.401379,,,
Iraq,Baghdad,33.302431,44.378799,,,
Ireland,Dublin,53.349765,-6.260273,,,
Israel,Jerusalem,31.789118,35.222973,,,
Italy,Rome,41.894802,12.485338,,,
Jamaica,Kingston,17.971215,-76.792813,,,
Japan,Tokyo,34.696864,139.404903,,,
Jordan,Amman,31.951569,35.923963,,,
Kazakhstan,Astana,51.150921,71.43886,,,
Kenya,Nairobi,-1.283253,36.817245,,,
Kosovo,Pristina,42.663877,21.164085,,,
Kuwait,Kuwait City,29.379709,47.973563,,,
Kyrgyzstan,Bishkek,42.879758,74.586688,,,
Laos,Vientiane,17.964099,102.613371,,,
Lebanon,Beirut,33.89592,35.47843,,,
Lesotho,Maseru,-29.310054,27.478222,,,
Libya,Tripoli,32.896672,13.177792,,,
Luxembourg,Luxembourg,49.815868,6.129675,,,
Macao,Macau,22.2,113.55,,,
Madagascar,Antananarivo,-18.910012,47.525581,,,
Malawi,Lilongwe,-13.973456,33.787812,,,
Malaysia,Kuala Lumpur,3.154687,101.713636,,,
Mali,Bamako,12.649319,-8.000337,,,
Mauritania,Nouakchott,18.079238,-15.978007,,,
Mauritius,Port Louis,-20.163728,57.504533,,,
Mexico,Mexico City,19.432601,-99.133342,,,
Moldova,Chisinau,47.012274,28.860594,,,
Mongolia,Ulaanbaatar,47.949809,106.966724,,,
Morocco,Rabat,34.022405,-6.834543,,,
Mozambique,Maputo,-25.966213,32.56745,,,
Myanmar,Naypyidaw,19.754005,96.134498,,,
Namibia,Windhoek,-22.553039,17.054379,,,
Netherlands,Amsterdam,52.37454,4.897976,,,
New Zealand,Wellington,-41.288764,174.777224,,,
Nicaragua,Managua,12.146124,-86.273717,,,
Niger,Niamey,13.499814,2.109486,,,
Nigeria,Abuja,9.064331,7.489297,,,
Norway,Oslo,59.913269,10.739111,,,
Oman,Muscat,23.51255,58.551373,,,
Pakistan,Islamabad,33.666667,73.166667,,,
Palestine,Jerusalem,31.789118,35.222973,,,
Panama,Panama City,30.160083,-85.654573,,,
Papua New Guinea,Port Moresby,-9.47433,147.15995,,,
Paraguay,Asunción,-2.474256,-78.184317,,,
Peru,Lima,-12.062106,-77.036526,,,
Philippines,Manila,14.590622,120.97997,,,
Poland,Warsaw,52.231924,21.006727,,,
Portugal,Lisbon,38.707751,-9.136592,,,
Puerto Rico,San Juan,18.384239,-66.05344,,,
Qatar,Doha,25.285633,51.526416,,,
Romania,Bucharest,44.436141,26.10272,,,
Russia,Moscow,55.750718,37.617661,,,
Rwanda,Kigali,-1.88596,30.129675,,,
San Marino,City of San Marino,43.9346,12.4473,,,
Saudi Arabia,Riyadh,24.631969,46.715065,,,
Serbia,Belgrade,44.817813,20.456897,,,
Seychelles,Victoria,-36.59861,144.678005,,,
Sierra Leone,Freetown,8.479004,-13.26795,,,
Singapore,Singapore,1.290475,103.852036,,,
Slovakia,Bratislava,48.135909,17.159744,,,
Slovenia,Ljubljana,46.049865,14.506892,,,
South Africa,Pretoria,-25.745937,28.187944,,,
South Korea,Seoul,37.566679,126.978291,,,
South Sudan South Sudan,Juba,4.847202,31.595166,,,
Spain,Madrid,40.416705,-3.703582,,,
Sri Lanka,Sri Jayawardenapura Kotte,6.903166,79.909164,,,
Sudan,Khartoum,15.593325,32.53565,,,
Sweden,Stockholm,59.325117,18.071094,,,
Switzerland,Bern,46.948271,7.451451,,,
Syria,Damascus,33.51307,36.309581,,,
Taiwan,Taipei,25.066667,121.516667,,,
Tanzania,Dodoma,-6.179118,35.746817,,,
Thailand,Bangkok,13.754253,100.493087,,,
Trinidad and Tobago,Port of Spain,10.657268,-61.518017,,,
Tunisia,Tunis,33.843941,9.400138,,,
Turkey,Ankara,39.921522,32.853793,,,
Uganda,Kampala,0.317714,32.581354,,,
Ukraine,Kiev,50.450107,30.52405,,,
United Arab Emirates,Abu Dhabi,23.997644,53.64391,,,
United Kingdom; England,London,51.507322,-0.127647,,,
United States,"Washington, D.C.",39.78373,-100.445882,,,
Uruguay,Montevideo,-34.905904,-56.191357,,,
Uzbekistan,Tashkent,41.312336,69.278708,,,
Venezuela,Caracas,10.506098,-66.914602,,,
Vietnam,Hanoi,21.02921,105.85247,,,
Zambia,Lusaka,-15.416697,28.281381,,,
Zimbabwe,Harare,-17.831773,31.045686,,,
